Course Name,URL
"Microsoft Office; Excel, Word & PowerPoint 2019 - Beginners",https://www.udemy.com/course/learn-microsoft-excel-powerpoint-and-word/
Sharper skills using Microsoft Excel 2010 for business,https://www.udemy.com/course/businessexcel2010/
SAP BW 7.4 ZERO TO HERO - MODELING,https://www.udemy.com/course/sap-bw-74-zero-to-hero/
Try Udemy Business,https://www.udemy.com/udemy-business/request-demo-mx/?ref=right-rail&locale=en_US
"Master Microsoft Excel, PowerPoint and Word 2013 - 27 Hours",https://www.udemy.com/course/learn-microsoft-excel-powerpoint-and-word-2013/
Microsoft 365 Identity And Services (Exam MS-100),https://www.udemy.com/course/microsoft-365-identity-and-services-exam-ms-100/
Professional documents using Word 2013,https://www.udemy.com/course/word2013/
iMovie - Video editing for beginners on Mac OS.,https://www.udemy.com/course/imovie-course/
Microsoft Outlook 2019/365: Master Your Email,https://www.udemy.com/course/microsoft-outlook-2019-master-email/
Executive Assistants: Manage Client's GCal (Beginners),https://www.udemy.com/course/google-calendar-for-client-management/
SAP Customer Service (CS/SM) - Service Management module,https://www.udemy.com/course/sap-customer-service-cssm-service-management-module/
Utilizing OneNote 2016 to its Fullest,https://www.udemy.com/course/onenote-2016/
"Excel Charts, Infographics & Data Visualization Masterclass",https://www.udemy.com/course/create-excel-charts-and-graphs-in-2-hours/
"Excel Shortcuts, Hacks & Tricks: 100+ Powerful Excel Tips",https://www.udemy.com/course/excel-hacks-and-tips-with-excel-2016/
Microsoft Office 2016 Essential Training: 9 Course Bundle,https://www.udemy.com/course/microsoft-office-2016-training-course-bundle/
SAP BI /SAP Business Objects Web Intelligence,https://www.udemy.com/course/sap-business-objects-web-intelligence/
A Business Manager's Complete Guide to SalesForce CRM,https://www.udemy.com/course/salesforcecom-essentials/
Google Workspace (G Suite) Ultimate Guide,https://www.udemy.com/course/learn-g-suite/
Microsoft Word 2016: Beginner and Intermediate Training,https://www.udemy.com/course/microsoft-word-2016-beginner-and-intermediate-training/
The Complete ASP.Net Core 3.1 MVC With EF Core -Formerly 2.0,https://www.udemy.com/course/aspnet-mvc-with-entity-framework-from-scratch/
Try Udemy Business,https://www.udemy.com/udemy-business/request-demo-mx/?ref=right-rail&locale=en_US
Microsoft Project 2019: Beginner to Advanced Mega Bundle,https://www.udemy.com/course/microsoft-project-2019-beginner-to-advanced-online-course/
The Complete Microsoft Excel Pivot Tables and Pivot Charts,https://www.udemy.com/course/the-complete-microsoft-excel-pivot-tables-and-pivot-charts/
Advanced Excel - Beginner to Ninja level (includes Charts),https://www.udemy.com/course/excelnext_excel/
Python for Excel: Use xlwings for Data Science and Finance,https://www.udemy.com/course/python-for-excel-xlwings-for-data-science-and-finance/
The Ultimate Microsoft Office 2010 Training Bundle 48 Hours,https://www.udemy.com/course/the-ultimate-microsoft-office-2010-training-bundle/
Microsoft Visio 2016 Tutorial: BEGINNER to ADVANCED fast!!,https://www.udemy.com/course/visio-tutorial-training/
PowerPoint for Beginners,https://www.udemy.com/course/powerpoint-for-beginners/
MIS Training - Advance Excel + Macro + Access + SQL,https://www.udemy.com/course/mis-professional-excel-macro-access-sql/
MO-200 Microsoft Excel 365/2019 Associate Certification,https://www.udemy.com/course/mo-200-microsoft-excel-3652019-associate-certification/
